0,1,2,3,4,5,6,7,8
,,,,,,,,
,,,Ongoing Projects State-Wise,,,APRIL 2026,,
,,,,,Original Cost,Cumulative,,
Sl.No,STATE NAME,Allocated To,Sector,Project Count,(Latest Revised Cost),Expenditure,,
,,,,,in Rs. Crore,in Rs. Crore,,
,,,,,25889.58,,,
,,Ministry of Petroleum & Natural Gas,Oil & Gas,7,,16132.96,,
,,,,,29147.7,,,
,Offshore,,,,,,,
,,,,,819,,,
,,Ministry of Railways,Railways,1,,580.51,,
,,,,,819,,,
1,,,,,141080.68,,,
,,Department of Telecommunications,Telecommunication,5,,73544.16,,
,,,,,263402,,,
,PAN India,,,,,,,
,,,,,274.39,,,
,,Ministry of Railways,Railways,1,,0.00,,
,,,,,274.39,,,
,,,Total,14,168063.65,90257.63,,
,,,,,209.88,,,
,,Ministry of Housing & Urban Affairs,Real Estate,1,,0.00,,
,,,,,209.88,,,
,Andaman & Nicobar,,,,,,,
2,,,,,653.97,,,
,,Ministry of Road Transport & Highways,Roads & Highways,3,,0.00,,
,,,,,1081.48,,,
,,,Total,4,863.85,0.00,,
,,Department for Promotion of Industry &,,,7061.44,,,
,,,Real Estate,3,,966.01,,
,,Internal Trade,,,7061.44,,,
,,,,,305,,,
,,Department of Higher Education,Education,1,,64.25,,
,,,,,305,,,
,,,,,7147.17,,,
,,Department of Telecommunications,Telecommunication,3,,2535.97,,
,,,,,7147.17,,,
,,"Department of Water Resources, River",,,10901.5,,,
,,,Water Resources,3,,28166.88,,
,,Development & GR,,,57269.5,,,
,,,,,1224.86,,,
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,,823.00,,
,,,,,1224.86,,,
,,,,,172.22,,,
,,Ministry of Housing & Urban Affairs,Waste & Water,1,,88.86,,
,,,,,172.22,,,
,Andhra Pradesh,,,,,,,
3,,,,,384.27,,,
,,Ministry of Labour and Employment,Healthcare,1,,253.37,,
,,,,,384.27,,,
,,,,,2658.34,,,
,,,Energy Storage,1,,2315.20,,
,,,,,2810,,,
,,Ministry of Petroleum & Natural Gas,,,,,,
,,,,,36642.34,,,
,,,Oil & Gas,4,,33641.98,,
,,,,,36702.3,,,
,,,,,20064.43,,,
,,Ministry of Power,Transmission & Distribution,6,,6687.01,,
,,,,,20064.4,,,
,,,,,47210.95,,,
,,Ministry of Railways,Railways,24,,39727.40,,
,,,,,55165.6,,,
,,,,,84981.17,,,
,,Ministry of Road Transport & Highways,Roads & Highways,92,,31423.13,,
,,,,,83517.7,,,
,,,Total,142,218753.69,146693.06,,
,,,,,592.61,,,
,,Department of Higher Education,Education,1,,551.30,,
,,,,,592.61,,,
,,,,,1255.49,,,
,,Department of Telecommunications,Telecommunication,1,,332.43,,
,,,,,1255.49,,,
,,,,,9265,,,
,,Ministry of Petroleum & Natural Gas,Oil & Gas,1,,6877.97,,
,,,,,9265,,,
,,,,,64102.68,,,
,Arunachal Pradesh,,Electricity Generation,6,,31344.62,,
,,,,,83892.9,,,
4,,,,,,,,
,,Ministry of Power,,,,,,
,,,,,4963.8,,,
,,,Transmission & Distribution,2,,8072.54,,
,,,,,9338.7,,,
,,,,,435,,,
,,Ministry of Railways,Railways,1,,853.00,,
,,,,,1250,,,
,,,,,8895.82,,,
,,Ministry of Road Transport & Highways,Roads & Highways,13,,1181.98,,
,,,,,8895.82,,,
,,,Total,25,89510.4,49213.84,,
,,,,,153.71,,,
,,Department of Higher Education,Education,1,,137.84,,
,,,,,153.71,,,
,,,,,1255.49,,,
,,Department of Telecommunications,Telecommunication,1,,332.43,,
,,,,,1255.49,,,
,,"Department of Water Resources, River",,,256.16,,,
,,,Water Resources,1,,44.70,,
,,Development & GR,,,256.16,,,
,,,,,1712,,,
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,,2627.39,,
,,,,,2520,,,
,,,,,449.23,,,
,,Ministry of Coal,Coal,2,,217.08,,
,,,,,449.23,,,
,,,,,143.23,,,
,,Ministry of Labour and Employment,Healthcare,1,,130.08,,
,,,,,154.75,,,
,Assam,,,,,,,
5,,,,,10768.4,,,
,,,Energy Storage,3,,11231.34,,
,,,,,11947.4,,,
,,Ministry of Petroleum & Natural Gas,,,,,,
,,,,,27356.06,,,
,,,Oil & Gas,14,,29379.02,,
,,,,,37710.9,,,
,,,,,6285.33,,,
,,,Electricity Generation,1,,26150.32,,
,,,,,26075.5,,,
,,Ministry of Power,,,,,,
,,,,,5111.33,,,
,,,Transmission & Distribution,1,,5577.75,,
,,,,,6700,,,
,,,,,19531.77,,,
,,Ministry of Railways,Railways,9,,12700.19,,
,,,,,21246.8,,,
,,,,,49110.85,,,
,,Ministry of Road Transport & Highways,Roads & Highways,55,,14122.53,,
,,,,,49762,,,
,,,Total,90,122133.56,102650.67,,
,,,,,499.21,,,
,,Department of Higher Education,Education,1,,449.96,,
,,,,,499.21,,,
,,,,,3883.82,,,
,,Department of Telecommunications,Telecommunication,3,,1231.42,,
,,,,,3691.11,,,
6,Bihar,,,,,,,
,,,,,2351.43,,,
,,,Waste & Water,5,,1303.45,,
,,,,,2351.43,,,
,,"Department of Water Resources, River",,,,,,
,,Development & GR,,,,,,
,,,,,1622.27,,,
,,,Water Resources,1,,172.97,,
,,,,,2430.76,,,
,,,,,,,,
,,,Ongoing Projects State-Wise,,,APRIL 2026,,
,,,,,Original Cost,Cumulative,,
Sl.No,STATE NAME,Allocated To,Sector,Project Count,(Latest Revised Cost),Expenditure,,
,,,,,in Rs. Crore,in Rs. Crore,,
,,,,,3541.56,,,
,,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,,1582.80,,
,,,,,3541.56,,,
,,,,,250,,,
,,,Healthcare,1,,102.21,,
,,,,,500,,,
,,Ministry of Health & Family Welfare,,,,,,
,,,,,1264,,,
,,,Healthcare,1,,0.00,,
,,,,,1264,,,
,,,,,13365.77,,,
,,,Urban Public Transport,1,,5197.09,,
,,,,,13365.8,,,
,,Ministry of Housing & Urban Affairs,,,,,,
,,,,,158.78,,,
,,,Waste & Water,1,,135.72,,
,,,,,158.78,,,
,,,,,10228,,,
,,,Energy Storage,1,,10912.42,,
,,,,,11407,,,
,Bihar,Ministry of Petroleum & Natural Gas,,,,,,
6,,,,,25153.5,,,
,,,Oil & Gas,7,,14520.84,,
,,,,,27018.2,,,
,,,,,5369.18,,,
,,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,,3990.06,,
,,,,,5061.15,,,
,,,,,40387.09,,,
,,,Electricity Generation,2,,16046.62,,
,,,,,43704.6,,,
,,Ministry of Power,,,,,,
,,,,,3119.63,,,
,,,Transmission & Distribution,3,,144.45,,
,,,,,3119.63,,,
,,,,,45121.2,,,
,,Ministry of Railways,Railways,22,,20003.94,,
,,,,,49589.6,,,
,,,,,100804.89,,,
,,Ministry of Road Transport & Highways,Roads & Highways,80,,29424.11,,
,,,,,100223,,,
,,,Total,133,257120.33,105218.06,,
,,,,,1188.97,,,
,,Department of Higher Education,Education,1,,0.00,,
,,,,,1188.97,,,
,,,,,7147.17,,,
