Ministry,Category,Project Name,Agency,Project Code,Legacy OCMS Code,PMGID,State,Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),Physical Progress (%),approval_date,start_date,target_doc,revised_doc,has_legacy_code,has_pmgid,is_revised,planned_duration_months,effective_doc,schedule_slippage_months,is_delayed,project_age_months,cost_overrun_pct,is_cost_overrun,log_original_cost,log_revised_cost,log_cumulative_expenditure,expenditure_utilization_pct,progress_expenditure_gap,progress_bucket,original_is_outlier,cumulative_is_outlier,is_multi_state,state_clean,ministry_freq_encoded,suspect_revised_cost,missing_approval_date,ministry_grouped,category_freq_encoded,agency_freq_encoded,state_freq_encoded,approval_year
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Airport Authority of India [AAI],612786,N04000106,,Andhra Pradesh,265.91,265.91,129.07,65.0,2023-03-01,2024-01-01,2026-01-01,2026-07-01,1,0,1,34.0,2026-07-01,6.0,1,27,0.0,0,5.586911522924786,5.586911522924786,4.868072767075649,48.53897935391673,16.46102064608327,50-75%,0,0,0,Andhra Pradesh,0.013124684502776375,0,0,Ministry of Civil Aviation,0.013124684502776375,0.012619888944977285,0.05502271580010096,2023.0
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Airport Authority of India [AAI],701107,N04000091,4353.0,Andhra Pradesh,611.8,611.8,523.14,87.2,2020-06-01,2020-09-01,2022-09-01,2026-10-01,1,1,1,27.0,2026-10-01,49.0,1,67,0.0,0,6.418038618426381,6.418038618426381,6.261758824208524,85.50833605753515,1.6916639424648565,75-100%,0,0,0,Andhra Pradesh,0.013124684502776375,0,0,Ministry of Civil Aviation,0.013124684502776375,0.012619888944977285,0.05502271580010096,2020.0
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Domestic Terminal Building at Rajahmundry Airport.,Airport Authority of India [AAI],701121,N04000103,,Andhra Pradesh,347.15,347.15,170.79,90.0,2022-12-01,2023-08-01,2025-08-01,2026-06-01,1,0,1,32.0,2026-06-01,10.0,1,32,0.0,0,5.852633421388556,5.852633421388556,5.1462728006383545,49.19775313265159,40.80224686734841,75-100%,0,0,0,Andhra Pradesh,0.013124684502776375,0,0,Ministry of Civil Aviation,0.013124684502776375,0.012619888944977285,0.05502271580010096,2022.0
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Guwahati Airport New Integrated Terminal Building Construction Project,Adani Airport Holdings Limited,706724,N04000083,9925.0,Assam,1712.0,2520.0,2627.39,98.0,2016-12-01,2018-03-01,2025-03-01,2026-06-01,1,1,1,99.0,2026-06-01,15.0,1,97,47.19626168224299,1,7.44600149832412,7.83241092718792,7.874126770420523,104.26150793650793,-6.261507936507925,75-100%,0,1,0,Assam,0.013124684502776375,0,0,Ministry of Civil Aviation,0.013124684502776375,0.0005047955577990914,0.039878849066128215,2016.0
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of New Civil Enclave at Bihta,Airport Authority of India [AAI],612183,,9918.0,Bihar,1413.0,1413.0,7.64,1.28,2024-08-01,2025-04-01,2027-03-01,,0,1,0,31.0,2027-03-01,0.0,0,12,0.0,0,7.254177846456518,7.254177846456518,2.1564025828159643,0.5406935598018401,0.7393064401981599,0-25%,0,0,0,Bihar,0.013124684502776375,0,0,Ministry of Civil Aviation,0.013124684502776375,0.012619888944977285,0.05148914689550732,2024.0
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of New Civil Enclave and associated works at Darbhanga Airport,Airport Authority of India [AAI],612194,N04000112,9917.0,Bihar,911.66,911.66,374.49,65.0,2024-07-01,2024-07-01,2026-07-01,2026-11-01,1,1,1,24.0,2026-11-01,4.0,1,21,0.0,0,6.8163634125517065,6.8163634125517065,5.928231839691119,41.07781409736086,23.922185902639143,50-75%,0,0,0,Bihar,0.013124684502776375,0,0,Ministry of Civil Aviation,0.013124684502776375,0.012619888944977285,0.05148914689550732,2024.0
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Airport Authority of India [AAI],701101,N04000082,4356.0,Bihar,1216.9,1216.9,1200.67,98.22,2018-10-01,2018-10-01,2026-05-01,2026-05-01,1,1,1,91.0,2026-05-01,0.0,0,90,0.0,0,7.104883343093065,7.104883343093065,7.091467534972197,98.66628317856849,-0.44628317856849264,75-100%,0,0,0,Bihar,0.013124684502776375,0,0,Ministry of Civil Aviation,0.013124684502776375,0.012619888944977285,0.05148914689550732,2018.0
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Goa Airport Terminal Building Extension Project,Airport Authority of India [AAI],701105,N04000095,4831.0,Goa,255.69,255.69,156.7,100.0,2017-11-01,2019-12-01,2021-12-01,2026-04-01,1,1,1,49.0,2026-04-01,52.0,1,76,0.0,0,5.5478691311385475,5.5478691311385475,5.060694493968993,61.28514998631155,38.71485001368845,complete,0,0,0,Goa,0.013124684502776375,0,0,Ministry of Civil Aviation,0.013124684502776375,0.012619888944977285,0.002523977788995457,2017.0
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of Keshod Airport.,Airport Authority of India [AAI],619054,,,Gujarat,363.1,363.1,87.88,33.13,2024-01-01,2025-07-01,2027-01-01,,0,0,0,36.0,2027-01-01,0.0,0,9,0.0,0,5.897428555181388,5.897428555181388,4.487287145331375,24.202698980996967,8.927301019003036,25-50%,0,0,0,Gujarat,0.013124684502776375,0,0,Ministry of Civil Aviation,0.013124684502776375,0.012619888944977285,0.05451792024230187,2024.0
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Development of Dholera International Greenfield Airport , Gujarat",Airport Authority of India [AAI],701126,N04000099,3366.0,Gujarat,1305.0,1551.0,896.82,82.0,2022-06-01,2022-07-01,2026-06-01,2026-06-01,1,1,1,48.0,2026-06-01,0.0,0,45,18.850574712643677,1,7.174724309836376,7.347299700743164,6.79996960277603,57.822050290135394,24.177949709864606,75-100%,0,0,0,Gujarat,0.013124684502776375,0,0,Ministry of Civil Aviation,0.013124684502776375,0.012619888944977285,0.05451792024230187,2022.0
